id,source_page,frame,subframe,topic,question_reconstructed,answer_vibs_report_reflection,expected_interpretation_noexcuse_sammenheng,opportunities
NE-39,44,Menneske,Trygghet,Besluttsomhet,Hva er status for besluttsomhet i virksomheten?,"Det pekes på at eierskap blant alle ansatte er en nøkkel for å lykkes. For å få det til skal det jobbes aktivt med lytting, men usikker på hvordan får de gode meningene helt frem. Man tenker at støtte er vesentlig.","Det å ha selvsikre ansatte som har selvsikkerhet til å ta beslutninger i virksomheter, kan utgjøre forskjellen på de som følger med i tiden og ikke. Videre kan dette med å ta for omfattende beslutninger i virksomheter på tvers av langsiktige strategier også være problematisk.",Utforme tydelige stillingsstrategier [Lav/Middels] | Utvikle ledere som kan tydeliggjøre de ansattes mandat [Høy/Høy] | Skrive tydelige stillingsbeskrivelser med definert mandat [Middels/Middels]
NE-40,45,Menneske,Trygghet,Trivsel,Hva er status for trivsel i virksomheten?,"I virksomheten skal de ansatte trives. Det kan av og til føles unaturlig å skryte av ansattes innsats, men man ser at det motiverer. For øvrig legges det opp til teamarbeid og en ærlig tilbakemeldingskultur der det gis tilbakemelding om innsats som ikke er god nok. Utfordringen ligger litt i at ulike generasjoner trives på ulike vilkår.","Å trives på jobben er grunnleggende for å kunne etablere trygghet hos enhver medarbeider. Trivselsarbeidet må gjerne tilpasses bransjer, virksomheter og de ansatte. Det er ikke alltid helt slik at «one size fits all».","Gjennomfør medarbeiderundersøkelser med spørsmål om trivsel spesifikt [Lav/Lav] | Tren ledere opp i empati, betydningen av trivsel og hvordan påvirke dette [Høy/Middels]"
NE-41,46,Menneske,Visjon,Visjon i virket,Hva er status for visjon i virket i virksomheten?,"Under dette emnet havnet vi i fella og snakket om byggepraksis i tømreryrket. Det pekers på en visjon om yrkesstolthet og materialkvalitet er i kjernen for virksomheten, og representeres med yrkesbakgrunnen til daglig leder. Håndtverkerne er idag avhengige av byggevareleverandører osv. Ny markedssituasjon fordi færre billig- produkter. De som tar bærekraftsansvar, sees på som seriøse.",En tydelig visjon er ofte grunnleggende og førende for hvordan de ulike ansatte skal oppfatte bakgrunnen for virksomhetens eksistens. Årsaken til at dette er viktig kommer til syne gjennom en grunnleggende måte å tenke både leveranser og utvikling på.,Etabler en lett forståelig og attraktiv beskrivelse av virksomhetens visjon [Middels/Høy] | Gjennomfør undersøkelse blant ansatte om visjonen [Lav/Lav] | Gjennomfør undersøkelse blant forretningsforbindelser om visjonen [Høy/Middels]
NE-42,47,Menneske,Verdier,Verdier i hverdagen,Hva er status for verdier i hverdagen i virksomheten?,Verdiene i virksomheten peker tilbake på å kvalitetsbegrep som tekniske spesialister og bransjefolk innehar. Bransje- og domenekunnskap skal inn i arbeidshverdagen. Det er her vi finner verdiene som er bærebjelken i faget.,Virksomhetens entydige og sunne verdier er grunnleggende for at enhver ansatt skal kunne gjennomføre sitt virke til enhver tid – spesielt i tilfeller der man kommer opp i en situasjon som ikke er regulert av krav eller rutiner.,Utvikle entydige og sunne verdier [Middels/Middels] | Sørg for at ledere er rollemodeller (Walk the talk) [Lav/Høy] | Integrer verdier i rekruttering og prestasjonsytring [Middels/Middels] | Etabler åpen og trygg kommunikasjon [Lav/Middels] | Prioriter balanse og helse (velvære) [Middels/Middels]
NE-43,48,Menneske,Mål,Opplæring i mål,Hva er status for opplæring i mål i virksomheten?,Ledelsen virker usikker på emnet. Etter en lengre tenkepause konkluderes det med at emnet vil være fruktbart i sammenheng inn mot første ansettelse. Bevisstgjøringen handler om at ansatte må forstå hvor vi vil.,"Dette med å jobbe målrettet kan være et godt styringsverktøy for ledere i virksomheten. Måling kan gjøres mot ulike faktorer som omsetning, økonomi, trivsel, fravær eller annet. I noen tilfeller er måling av leveranse også et kvalitetstall overfor leveranser.","Gjennomfør trening i hvordan måling skal gjøres [Middels/Høy] | Evaluer virksomhetens mål, ift relevans og kvalitet [Middels/Middels] | Undersøk med virksomhetens ansatte i hvilken grad de er bevisste ift målarbeidet [Middels/Middels]"
NE-44,49,Menneske,Ressurser,Ansattes ferdigheter,Hva er status for ansattes ferdigheter i virksomheten?,"Etter hvert enes gruppen om at det vil være vesentlig å «gjøre ting enkelt» uavhengig av deres bakgrunn. Det pekes på at ansatte må ha en helhetlig forståelse, at jobben skal gjøres på et kontor, men at det er et program/plattform som skal snakke mot regnskapsfolk. Det er vesentlig å huske på hvem som er i målgruppen.","Kompetanse må stadig repeteres, fornyes og utvikles. Nye ansatte kommer til og verden utvikler seg. Sørg for at ansatte evner til å levere som forventet overfor eksterne og interne kunder",Gjennomfør kompetansekartlegging [Lav/Middels] | Strukturer behov for kompetanse knyttet til ulike oppgaver [Middels/Middels]
NE-45,50,Menneske,Stress,Oppmerksomhet på stress,Hvordan følger dere med på og håndterer stress?,"Uten ansatte så blir det prematurt å tenke på stress som noe å ha oppmerksomhet på. «For oss som er her i dag, er det penger som er stress», men det har man kontroll på.","Mange syns det kan være artig med hektiske perioder, men i de tilfellene periodene blir for langvarige og intense, kan det fort bli mer betraktet som stress. Dette kan være skadelig. Sørg for at det er oppmerksomhet knyttet til temaet.",Tren lederne på å gjenkjenne tegn på stress og skadevirkningen med dette [Middels/Høy] | Etabler «stressfrie soner» eller «stille timer» [Middels/Lav] | Del kunnskap om arbeidsmiljø og stressmestring [Middels/Middels] | Innfør rutiner for anerkjennelse og debrief [Middels/Middels]
NE-46,51,Menneske,Konflikt,Oppmerksomhet på konflikt,Hvordan følger dere med på og håndterer konflikt?,"Nok en prematur bevisstgjøring uten ansatte. Tenker fortsatt at det er vesentlig å snakke med hverandre, se ann landskapet og ta utfordringer fortløpende.",Konflikter tærer ofte på mer enn bare de delaktige partene i selve konflikten. Dersom en ikke får tatt tak i slike utfordringer tidlig kan det utvikle seg og på sikt svekke tilliten til ledelsen. Husk at konflikter gjerne har en fase før det blir synlig.,Gjør risikovurdering ift fare for konflikter [Lav/Middels] | Tren ledere opp i å både oppdage og håndtere konflikter [Middels/Høy] | Gjennomfør medarbeider undersøkelser for å kartlegge konflikter [Middels/Middels]
NE-47,52,Påvirkning,Formell,Myndighetskrav,Hvordan identifiserer og etterlever dere relevante myndighetskrav?,"Pr. i dag er det få krav fra myndighetene. Skattemyndighetene er relevante. Dette blir nok mer relevant på sikt med ansatte, i forhold til informasjonssikkerhet osv.","Å etterleve myndighetskrav regnes som en selvfølge, men det er ulike måter å gjøre dette så effektivt som mulig. Merk at ulike bransjer gjerne har ulike myndighetskrav, samtidig som at ulike funksjoner også er underlagt ulike krav.",Etabler en relasjon med advokat for å avklare hvilke krav som gjelder og rettspraksis rundt disse [Middels/Høy] | Knytt virksomheten opp til interesseorganisasjoner som kjører juridisk faglige oppdateringer [Middels/Middels] | Følg med i bransjens tidskrifter og artikler knyttet til temaet [Lav/Middels]
NE-48,53,Påvirkning,Formell,Myndighetskontakt,Hvordan er kontakten med myndigheter organisert og fulgt opp?,"Til nå har virksomheten kun vært i kontakt med arbeidstilsynet, den lokale kommunen og miljødirektorater. Det kan nok bli mer kontakt på sikt.","Å ha kontakt med myndighetene er noe virksomheter både må, kan og bør ha. Som virksomhetsleder plikter man å etterkomme myndighetenes anmodninger, samtidig kan det være stor grad av verdi å hente i å ha en positiv relasjon. Nøkkelord her er åpenhet, proaktivitet og forutsigbarhet.",Kartlegg all myndighetskontakt i virksomheten [Lav/Høy] | Etabler en proaktiv og åpen dialog med myndighetene [Middels/Middels] | Bruk klarspråk og vær konsis overfor myndighetene [Middels/Høy] | Dokumenter og del data som avtalt med myndighetene [Middels/Middels] | Lever som avtalt og vær forutsigbar overfor myndighetene [Middels/Middels]
NE-49,54,Påvirkning,Formell,Organisert arbeidsliv,Hvordan forholder virksomheten seg til organisert arbeidsliv og partssamarbeid?,Daglig leder uttrykker: «Ikke aktuelt med fagforeninger knyttet med utvikling av app!»,Fagforeninger spiller en viktig rolle for å samle de ansattes ønsker og krav og kan på mange måter forenkle dialogen mellom arbeidsgiver og arbeidstaker. Det å ha en sunn relasjon med fagforeningene kan være lurt.,Etabler et sunt samarbeid med fagforeningen [Lav/Lav] | Meld virksomheten inn i en arbeidsgiver organisasjon [Lav/Lav] | Planlegg samarbeidet med fagforeningen [Lav/Lav]
NE-50,55,Påvirkning,Uformell,Holdninger,Hva er status for holdninger i virksomheten?,"Ledergruppen mener at å beskrive internkulturen ikke «skal være så vanskelig» og at om det er en ting som er helt uakseptabelt, så er det mobbing.",Internkultur i en virksomhet er krevende å forstå og enda mer vrien å forme. Det å ha en strategi og mål med hvor vi vil med denne og hvordan få det til kan påvirke grenseløst,Gjennomfør medarbeiderundersøkelse for å kartlegge holdningene i virksomheten [Middels/Middels] | Gjennomfør sluttintervjuer for å avklare interne holdninger [Lav/Middels] | Definér og levér på felles verdier [Middels/Høy] | Lag en kultur for åpen og konstruktiv kommunikasjon [Lav/Høy]
NE-51,56,Påvirkning,Uformell,Uformelle ledere,"Hvilke uformelle ledere eller maktposisjoner finnes, eller kan oppstå, i virksomheten?","Selv om daglig leder selv hevder at han ikke «er så flink sosialt», så anses emnet for å være noe prematurt og kan tas opp ved en senere anledning.","Utover virksomhetens organisasjonskart, er det ikke unormalt at det finnes enkeltpersoner som gjennom personlighet, kompetanse, ansiennitet, relasjoner eller annet utgjør en maktposisjon. Det vil være av høy viktighet å kartlegge disse og deres tilnærming.",Identifiser og anerkjenn de uformelle lederne [Lav/Lav] | Gjennomfør medarbeiderundersøkelser [Lav/Lav] | Gjennomfør sluttintervjuer for å kartlegge uformelle ledere [Lav/Middels] | Sørg for å utvikle lederne slik at de kan oppdage og håndtere uformelle ledere [Middels/Lav] | Etabler generelt faste møteplasser med lav terskel [Middels/Lav]
NE-52,57,Påvirkning,Støttende,Bransjeorganisasjoner,Hva er status for bransjeorganisasjoner i virksomheten?,"Virksomheten er ikke medlem av noen bransjeorganisasjon, men vil vurdere dette så snart det blir mer aktuelt.","Bransjeorganisasjoner har det med å sette et lys på felles utfordringer, muligheter, nyvinninger, lovreguleringer, arbeidsmarkedet og langsiktige perspektiv. Det å bidra aktivt inn mot bransjeorganisasjoner kan derfor gi gode resultater på både kort og lang sikt.","Sørg for å ha en strategisk tilnærming til relevant bransjeorganisasjon, ved å etablere felles mål/nytte [Middels/Høy] | Bygg tillit gjennom åpen og aktiv kommunikasjon [Lav/Høy] | Vær en aktiv bidragsyter, ikke bare mottaker [Middels/Middels] | Etabler faste møteplasser og struktur for samhandling [Lav/Middels]"
NE-53,58,Påvirkning,Støttende,Samarbeidspartnere,"Hvilke samarbeidspartnere er kritiske for at virksomheten skal lykkes, og hvordan ivaretas relasjonene?","Det jobbes ikke spesielt tett med noen samarbeidspartnere, men når dette kommer på plass, skal også de kjenne til våre verdier og dele disse.","Normalt omgir man seg med mange ulike samarbeidspartnere som kan støtte oss både planlagt og ved tilfeller der man kanskje skulle tro man stod alene. Av og til er det kamper mot en felles utfordring, andre ganger har man interesse av at begge parter lykkes",Kartlegg hvilke kunder og leverandører som er positive til oss gjennom regnskap og leverandørlister [Lav/Middels] | Lag en plan for hvordan håndtere om noen av disse aktørene skulle endre sitt syn på oss eller relasjonen [Middels/Lav] | Risikovudering basert på bransje og land [Lav/Lav] | Etabler faste rutiner for internkontroll [Lav/Middels]
NE-54,59,Påvirkning,Utfordrende,Markedsaktører,"Hvilke markedsaktører kan støtte, utfordre eller motarbeide virksomheten?","I fremtiden vil alt måtte måles i kroner og ører. Ledergruppen har ikke tenkt på hvilken effekt deres inntog har på bransjen, men opplever allerede at snekkerne kan fremstå som noe skeptiske. De anser at det vil komme strengere krav fremover.","Det å møte aktører i et marked som er kritiske eller negative til vår eksistens, er ganske naturlig. Verdien av å vite hvem disse er, hva de mener og i hvilken grad de kan påvirke oss og våre beslutninger kan være avgjørende.",Kartlegg markedsaktører som er negative til oss [Middels/Middels] | Overvåk Sosiale Medier etter negativ omtale [Lav/Middels] | Utfør kvalitative dybdeintervjuer med nøytrale parter [Høy/Middels]
NE-55,60,Påvirkning,Utfordrende,Motarbeidere,Hva er status for motarbeidere i virksomheten?,Medarbeidere som bruker sin energi på å jobbe mot prosjektet «vil få sparken». Dette er åpenbart en adferd som ikke aksepteres og vil bli slått beinhardt ned på.,"Noen ganger opplever vi å ha ansatte som fremstår som negative til virksomheten, våre prosesser, våre produkter eller på annen måte ikke er lojale. Disse er det viktig å ha kontroll på og en plan på hvordan skal håndteres dersom de skulle gå for langt.",Gjennomfør medarbeiderundersøkelse for å kartlegge hvem som er illojale og hva bakgrunnen for dette er [Middels/Høy] | Ledelsen etablerer en kultur for trygg kommunikasjon [Lav/Høy] | Sikre tydelige forventninger og mål på ansattnivå [Middels/Høy] | Anerkjenn og belønn innsats regelmessig for å stagge motarbeidere [Middels/Middels] | Innfør systematisk HMS-arbeid mot mobbing og utfrysing [Middels/Middels]
NE-56,61,Påvirkning,Fiendtlig,Forebygging av utpressing,Hvordan arbeider dere med forebygging av utpressing?,Virksomheten anser faren for utpressing så lav at dette anses som noe som ikke kan skje dem og de vil handle der etter.,"Kriminelle aktører kan være truende til å ty til ulike grep for å oppnå vinning. Robuste organisasjoner der kommunikasjonen er tett og god mellom ledelsen og de ansatte, vil ha bedre forutsetninger for å håndtere denne form for fiendtlig aktivitet.","Utforme en policy for hvordan utpressing skal forebygges, oppdages, håndteres [Lav/Middels] | Sikre gode og oppdaterte sikkerhetskopier (backup) for å dekke eventuelle sikkerhetshull [Middels/Høy] | Oppdater programvare og systemer fortløpende for å forebygge utpressing [Middels/Høy] | Opplæring og bevisstgjøring av ansatte [Middels/Høy] | Begrens tilgangsrettigheter (prinsippet om minste tilgang) [Lav/Middels]"
NE-57,62,Påvirkning,Fiendtlig,Forebygging av svindel,Hvordan arbeider dere med forebygging av svindel?,Virksomheten er i et marked hvor det finnes aktører som driver med svindel. De må arbeide løpende for å ikke bli oppfattet som å selv være en av dem. De har ikke tenkt igjennom tiltak ennå for å forebygge å selv bli oder for svindel. Grønnvasking er også noe som kan tas med i denne sammenheng.,"I en hverdag med rask teknologisk utvikling der det kan være vanskelig å henge med i svingene, er det fort gjort å bli utsatt for svindel. Triksene som de kriminelle benytter er ofte så sofistikerte at man skjønner ikke hva som er skjedd før det er for sent.",Ha tydelige beløpsgrenser for de ulike ansatte for å redusere konsekvensene av svindel [Lav/Middels] | Etablere rutiner for utbetalinger (2-par øyne) [Lav/Høy] | Gjennomfør kredittvurdering av nye kunder [Middels/Middels] | Opplæring av ansatte i sikkerhetskultur [Middels/Middels] | Oppdatere programvare og IT-systemer [Middels/Høy]
NE-58,63,Påvirkning,Fiendtlig,Forebygging av korrupsjon,Hvordan arbeider dere med forebygging av korrupsjon?,Helt generelt råder det en viss grad av «hva korrupsjon egentlig er». Utover det presenteres bransjen som en med mye kameraderi som det er krevende å forholde seg til. Plattformen i seg selv skal bidra til å hindre korrupsjon.,"I noen tilfeller der det er snakk om store summer og lav risiko for å bli oppdaget, kan ansatte i ulike situasjoner la seg involvere i korrupsjon. Dette er naturligvis svært skadelig for alle parter.",Etabler rutiner for å oppdage korrupsjon og forsøk (Code of Conduct og varslingskanaler) [Middels/Middels] | Skap holdningsskapende arbeid knyttet korrupsjon [Høy/Høy] | Gjennomgå en plan for å håndtere korrupsjon dersom det oppstår og oppdages [Lav/Middels] | Gjennomfør opplæring og skap bevisstgjøring (Aktsomhetsvurderinger) [Middels/Høy] | Etterlev ISO 37001 (Ledelsessystem mot korrupsjon) [Høy/Høy]
NE-59,64,Påvirkning,Fiendtlig,Håndtering av sårbarheter,Hvordan håndterer dere sårbarheter?,Emnet ble behandlet etter en kort tenkepause. Virksomheten opplever at de er for umodne for å bruke energi på dette. Ikke relevant.,"Sårbarhetssamtaler er noe vi gjør med ansatte som har bakgrunn fra ulike nasjoner, miljøer eller kulturer. Hensikten med sårbarhetssamtaler er å tydeliggjøre for ansatte at dersom de skulle ha behov for det, så må de ta kontakt med ledelsen for å få hjelp til å komme seg ut av eventuelle kniper",Etabler en policy for håndtering av sårbarhetssamtaler [Lav/Middels] | Lag e-læring om når og hvordan gjennomføre sårbarhetsamtaler [Middels/Middels]
NE-60,65,Påvirkning,Omdømme,Gjenoppretting,Hva er status for gjenoppretting i virksomheten?,"Ledergruppen vil, når tiden er inne, se på risikovurderinger utover de enkle nå underveis i jobben med produktet. Det er ønske å se på forebyggende tiltak. «Vi skal jobbe forebyggende, ikke spare dette til slutten.»","En virksomhet med langsiktige mål og visjoner, vil være svært opptatt av sitt omdømme. Svekket omdømme vil i mange tilfeller bidra til også svekket tillit som fører til svekket salgsresultater. Med andre ord er det svært viktig å vinne tillit og bygge omdømmet når noe har gått galt",Etabler en policy for hvordan håndtere ting som går galt [Lav/Middels] | Etabler en policy for hvordan håndtere media [Lav/Høy] | Gjør regelmessige kundeundersøkelser for å avdekke eventuelle brudd på tillit og omdømme [Middels/Middels]
